step,amount,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
153,22913.11,0,1,0,0,0,0
399,23955.19,0,0,0,1,0,0
301,11471.83,0,0,0,1,0,0
300,67457.0,1,0,0,0,0,0
212,133910.83,1,0,0,0,0,0
95,223812.41,0,1,0,0,0,0
298,1431.54,0,0,0,1,0,0
139,334897.65,1,0,0,0,0,0
21,46572.73,0,1,0,0,0,0
356,287157.6,0,0,0,0,1,0
397,374245.55,1,0,0,0,0,0
153,42840.34,1,0,0,0,0,0
34,8976.92,0,1,0,0,0,0
254,218491.43,0,1,0,0,0,0
307,202062.75,0,1,0,0,0,0
185,485196.1,1,0,0,0,0,0
132,180254.69,1,0,0,0,0,0
358,480454.94,0,1,0,0,0,0
204,10132.78,0,0,0,1,0,0
288,10374.46,0,0,0,1,0,0
13,5983.03,0,0,0,1,0,0
394,298276.92,1,0,0,0,0,0
297,24319.95,0,0,0,1,0,0
130,173006.24,0,1,0,0,0,0
402,130903.25,1,0,0,0,0,0
399,56731.26,1,0,0,0,0,0
255,98299.44,0,1,0,0,0,0
44,227431.2,1,0,0,0,0,0
306,28579.38,0,0,0,1,0,0
375,195224.6,0,0,0,0,1,0
33,298498.31,0,1,0,0,0,0
14,7196.0,0,0,0,1,0,0
525,50509.13,0,0,0,1,0,0
188,129045.78,1,0,0,0,0,0
203,11122.2,0,0,0,1,0,0
305,1365.58,0,0,0,1,0,0
229,308234.73,0,1,0,0,0,0
18,10094.64,0,0,0,1,0,0
350,522205.57,0,0,0,0,1,0
9,12945.17,0,0,0,1,0,0
399,260399.19,1,0,0,0,0,0
372,131569.93,0,1,0,0,0,0
282,147156.71,0,1,0,0,0,0
181,1315.88,0,0,0,1,0,0
300,3649.53,0,0,0,1,0,0
281,108065.43,0,1,0,0,0,0
159,12652.96,0,0,0,1,0,0
228,160494.51,0,1,0,0,0,0
305,138471.41,0,1,0,0,0,0
379,144337.25,1,0,0,0,0,0
182,689332.55,0,0,0,0,1,0
300,2274.73,0,0,0,1,0,0
346,223975.17,1,0,0,0,0,0
401,143234.4,0,1,0,0,0,0
308,16949.98,0,0,0,1,0,0
348,98151.75,0,0,0,0,1,0
375,11732.64,0,0,0,1,0,0
185,493353.64,1,0,0,0,0,0
325,1660.9,0,0,0,1,0,0
193,201735.88,1,0,0,0,0,0
378,3536.96,0,0,0,1,0,0
310,10031.2,0,0,0,1,0,0
403,14805.54,0,0,0,1,0,0
382,518.21,0,0,1,0,0,0
284,150125.6,1,0,0,0,0,0
18,4506.32,0,0,0,1,0,0
395,10000.0,1,0,0,0,0,0
12,15432.59,0,0,0,1,0,0
299,41639.54,0,0,0,1,0,0
352,85088.7,0,1,0,0,0,0
45,325221.33,0,1,0,0,0,0
18,193447.73,0,1,0,0,0,0
230,21167.7,0,0,0,1,0,0
324,260818.49,0,1,0,0,0,0
406,32614.45,0,0,0,1,0,0
129,96086.2,0,1,0,0,0,0
157,142539.92,1,0,0,0,0,0
352,827363.55,0,0,0,0,1,0
307,358666.64,0,1,0,0,0,0
234,8210.29,0,0,0,1,0,0
205,81233.35,0,1,0,0,0,0
186,10638.0,0,0,0,1,0,0
215,14342.28,0,0,0,1,0,0
329,285249.65,0,1,0,0,0,0
254,122243.81,1,0,0,0,0,0
308,1348.17,0,0,0,1,0,0
348,113359.68,1,0,0,0,0,0
42,93130.16,1,0,0,0,0,0
351,23408.45,1,0,0,0,0,0
167,269087.15,1,0,0,0,0,0
187,124167.39,0,1,0,0,0,0
20,164362.14,0,1,0,0,0,0
139,41755.84,0,1,0,0,0,0
279,418898.26,0,0,0,0,1,0
34,29759.25,0,0,0,1,0,0
11,577.77,0,0,0,1,0,0
250,694972.55,0,0,0,0,1,0
263,1496.07,0,0,0,1,0,0
154,20520.53,0,0,0,1,0,0
190,93133.07,0,1,0,0,0,0
576,11197.56,0,0,0,1,0,0
259,7236.42,0,0,0,1,0,0
334,59400.41,0,1,0,0,0,0
42,9291.26,0,0,0,1,0,0
154,140719.28,0,0,0,0,1,0
239,33974.95,0,0,0,1,0,0
326,49019.05,0,1,0,0,0,0
140,62085.22,0,1,0,0,0,0
278,224397.35,0,1,0,0,0,0
131,48494.27,0,1,0,0,0,0
38,50242.23,1,0,0,0,0,0
235,358667.63,0,1,0,0,0,0
353,79826.85,1,0,0,0,0,0
20,14424.61,0,0,0,1,0,0
181,359510.86,0,0,0,0,1,0
356,39057.11,0,0,0,1,0,0
402,12046.95,0,0,0,1,0,0
137,400928.59,0,1,0,0,0,0
15,9999.61,0,0,0,1,0,0
37,59.59,0,0,0,1,0,0
381,3197.79,0,0,0,1,0,0
305,32507.17,0,1,0,0,0,0
297,460598.18,0,1,0,0,0,0
162,213184.45,1,0,0,0,0,0
162,224934.42,1,0,0,0,0,0
38,36569.78,1,0,0,0,0,0
371,84893.03,1,0,0,0,0,0
209,113536.7,0,1,0,0,0,0
42,152966.19,1,0,0,0,0,0
330,17089.98,0,0,0,1,0,0
133,8197.72,0,0,0,1,0,0
351,150575.4,1,0,0,0,0,0
614,389.11,0,0,0,1,0,0
402,51691.0,1,0,0,0,0,0
129,24976.35,0,0,0,1,0,0
230,578394.56,0,1,0,0,0,0
209,84249.68,0,1,0,0,0,0
186,102887.97,1,0,0,0,0,0
358,263801.45,0,1,0,0,0,0
184,102139.16,0,0,0,0,1,0
188,882754.61,0,0,0,0,1,0
305,18677.34,0,0,0,1,0,0
41,352956.83,0,1,0,0,0,0
159,173035.08,0,1,0,0,0,0
17,162517.77,0,1,0,0,0,0
395,4174.71,0,0,0,1,0,0
330,109105.12,1,0,0,0,0,0
132,430571.27,1,0,0,0,0,0
369,304474.67,0,1,0,0,0,0
308,287848.37,1,0,0,0,0,0
44,10026.01,0,0,0,1,0,0
348,45638.3,1,0,0,0,0,0
40,32777.69,0,0,0,1,0,0
304,12288.97,0,0,0,1,0,0
563,173726.88,0,1,0,0,0,0
229,224288.81,0,1,0,0,0,0
157,17687.45,0,0,0,1,0,0
276,35490.16,0,1,0,0,0,0
298,210477.92,1,0,0,0,0,0
234,44572.3,0,0,0,1,0,0
38,489372.33,0,1,0,0,0,0
36,19888.11,0,0,0,1,0,0
157,27391.97,0,0,0,1,0,0
14,149890.98,0,1,0,0,0,0
398,53507.52,0,1,0,0,0,0
261,187511.63,1,0,0,0,0,0
212,195478.62,1,0,0,0,0,0
373,66380.43,1,0,0,0,0,0
208,9770.79,0,0,0,1,0,0
379,74034.3,0,1,0,0,0,0
331,11138.09,0,0,0,1,0,0
10,4450.7,0,0,0,1,0,0
348,3511.52,0,0,0,1,0,0
251,124303.48,1,0,0,0,0,0
136,4046.38,0,0,0,1,0,0
402,97824.42,1,0,0,0,0,0
397,421722.81,1,0,0,0,0,0
251,4017.4,0,0,0,1,0,0
346,120238.39,0,0,0,0,1,0
478,5504.17,0,0,0,1,0,0
379,24773.06,0,0,0,1,0,0
162,26272.62,0,0,0,1,0,0
260,412378.33,1,0,0,0,0,0
276,184503.41,1,0,0,0,0,0
39,1840.4,0,0,0,1,0,0
357,207753.98,1,0,0,0,0,0
159,115987.85,0,1,0,0,0,0
229,17121.53,0,0,0,1,0,0
299,204743.82,0,1,0,0,0,0
212,114366.31,0,1,0,0,0,0
43,52371.8,0,1,0,0,0,0
18,288237.02,1,0,0,0,0,0
324,78723.95,1,0,0,0,0,0
182,209440.14,1,0,0,0,0,0
235,41877.16,0,1,0,0,0,0
40,9867.61,0,0,0,1,0,0
186,341107.58,1,0,0,0,0,0
8,2129.18,0,0,0,1,0,0
211,37221.69,0,1,0,0,0,0
154,236779.99,0,1,0,0,0,0
179,22968.6,0,1,0,0,0,0
15,15991.78,0,1,0,0,0,0
402,178249.27,0,1,0,0,0,0
380,208885.08,0,1,0,0,0,0
228,1905.48,0,0,0,1,0,0
13,132.95,0,0,0,1,0,0
13,6402.99,1,0,0,0,0,0
158,197584.65,0,1,0,0,0,0
181,110644.85,0,1,0,0,0,0
325,171413.72,0,1,0,0,0,0
393,275416.06,1,0,0,0,0,0
304,10000000.0,0,0,0,0,1,0
185,934690.32,0,0,0,0,1,0
209,27995.91,0,1,0,0,0,0
206,33944.45,0,0,0,1,0,0
45,7215.5,0,0,0,1,0,0
401,4564.51,0,0,0,1,0,0
186,16252.67,0,0,0,1,0,0
322,11196.45,0,0,0,1,0,0
307,17581.78,0,0,0,1,0,0
236,4410.91,0,0,0,1,0,0
258,6776.94,0,0,0,1,0,0
348,6340.94,0,0,0,1,0,0
255,5026.5,0,0,0,1,0,0
34,8183.04,0,0,0,1,0,0
139,163959.83,0,1,0,0,0,0
280,118416.13,1,0,0,0,0,0
39,19636.31,1,0,0,0,0,0
357,2915.57,0,0,0,1,0,0
94,7745.37,0,0,0,1,0,0
131,99156.3,0,1,0,0,0,0
284,2822.15,0,0,0,1,0,0
225,12527.26,0,0,0,1,0,0
137,319092.96,0,0,0,0,1,0
137,307923.73,0,0,0,0,1,0
328,34598.81,0,0,0,1,0,0
19,10199.58,0,0,0,1,0,0
162,90875.7,0,0,0,0,1,0
251,5330.42,1,0,0,0,0,0
132,307846.23,0,1,0,0,0,0
184,33907.28,0,0,0,0,1,0
401,48202.14,0,1,0,0,0,0
399,3679.54,0,0,0,1,0,0
190,5756.25,0,0,0,1,0,0
12,29879.92,0,0,0,1,0,0
185,115794.97,1,0,0,0,0,0
163,16563.52,1,0,0,0,0,0
378,1096.4,0,0,0,1,0,0
393,112676.5,0,1,0,0,0,0
206,34676.43,0,1,0,0,0,0
254,13613.8,1,0,0,0,0,0
155,34370.36,0,0,0,1,0,0
181,305642.23,0,1,0,0,0,0
370,8462.46,1,0,0,0,0,0
332,18558.58,1,0,0,0,0,0
182,137496.25,0,1,0,0,0,0
180,171.22,0,1,0,0,0,0
396,31487.93,0,1,0,0,0,0
614,11.5,1,0,0,0,0,0
205,50267.3,1,0,0,0,0,0
131,224382.82,0,1,0,0,0,0
135,43487.57,0,1,0,0,0,0
12,14844.89,0,0,0,1,0,0
236,284311.59,0,1,0,0,0,0
356,86824.26,0,1,0,0,0,0
135,4576.56,0,1,0,0,0,0
329,25222.11,1,0,0,0,0,0
36,205033.68,0,1,0,0,0,0
257,793.87,0,0,1,0,0,0
327,30361.71,0,0,0,1,0,0
329,497275.06,0,1,0,0,0,0
400,121954.68,0,1,0,0,0,0
8,28546.19,1,0,0,0,0,0
10,21913.89,0,0,0,1,0,0
185,12601.44,0,0,0,1,0,0
331,93996.37,0,1,0,0,0,0
9,5548.81,0,0,0,1,0,0
229,1456545.27,0,0,0,0,1,0
154,17931.11,0,0,0,1,0,0
16,1760.65,0,0,0,1,0,0
416,25472.87,0,0,0,1,0,0
301,352038.5,0,1,0,0,0,0
396,46982.24,0,1,0,0,0,0
346,265235.17,1,0,0,0,0,0
18,99222.29,1,0,0,0,0,0
393,259777.9,0,1,0,0,0,0
153,3592.84,1,0,0,0,0,0
274,3400.48,0,1,0,0,0,0
254,212292.55,0,1,0,0,0,0
181,18995.66,0,0,0,1,0,0
399,107989.73,0,1,0,0,0,0
16,173037.98,1,0,0,0,0,0
237,153783.49,0,1,0,0,0,0
332,134546.18,1,0,0,0,0,0
253,280589.09,0,1,0,0,0,0
705,226578.91,0,1,0,0,0,0
331,8801.97,0,0,0,1,0,0
210,36702.09,0,1,0,0,0,0
282,8277.94,0,0,0,1,0,0
131,3259.66,0,1,0,0,0,0
252,21558.4,0,0,0,1,0,0
135,69318.73,1,0,0,0,0,0
253,17797.3,0,0,0,1,0,0
285,11071.19,0,0,0,1,0,0
287,15455.96,0,0,0,1,0,0
378,259070.02,0,1,0,0,0,0
41,4823.89,0,0,0,1,0,0
120,35906.07,0,1,0,0,0,0
297,464379.82,0,1,0,0,0,0
564,10662.2,0,0,0,1,0,0
254,18542.94,0,0,0,1,0,0
306,352471.73,0,1,0,0,0,0
327,167323.31,0,1,0,0,0,0
236,53235.2,0,1,0,0,0,0
184,2916.96,0,0,0,1,0,0
210,14106.48,0,1,0,0,0,0
162,1179716.26,0,0,0,0,1,0
36,749916.31,0,0,0,0,1,0
43,3173.25,0,0,0,1,0,0
324,271642.85,0,1,0,0,0,0
46,5363.57,0,0,0,1,0,0
183,98829.82,0,1,0,0,0,0
187,312702.12,0,1,0,0,0,0
260,206616.94,1,0,0,0,0,0
596,145988.83,0,1,0,0,0,0
182,316066.42,0,1,0,0,0,0
656,16858.97,0,0,0,1,0,0
213,44567.41,0,0,0,1,0,0
130,85702.18,1,0,0,0,0,0
234,173566.45,0,1,0,0,0,0
206,44718.97,0,1,0,0,0,0
371,3970.6,0,0,0,1,0,0
208,1983.28,0,0,0,1,0,0
162,88293.11,0,1,0,0,0,0
287,11640.52,0,0,0,1,0,0
40,377567.37,0,1,0,0,0,0
140,62779.42,0,1,0,0,0,0
590,42751.52,1,0,0,0,0,0
254,75068.32,0,1,0,0,0,0
135,4413.13,0,0,0,1,0,0
35,410799.09,0,1,0,0,0,0
403,79667.16,0,1,0,0,0,0
201,12540.8,0,0,0,1,0,0
285,218105.63,0,1,0,0,0,0
179,5828.7,0,0,0,1,0,0
542,66912.38,1,0,0,0,0,0
595,53881.9,1,0,0,0,0,0
177,3543.7,0,0,0,1,0,0
352,201468.71,0,1,0,0,0,0
212,232701.41,1,0,0,0,0,0
298,12013.93,0,0,0,1,0,0
19,230201.15,0,1,0,0,0,0
403,575.19,0,0,0,1,0,0
131,120308.35,0,1,0,0,0,0
165,2721.75,0,0,0,1,0,0
688,141880.17,0,1,0,0,0,0
136,44776.36,0,0,0,1,0,0
300,788254.18,0,0,0,0,1,0
353,362565.95,1,0,0,0,0,0
15,159679.73,0,1,0,0,0,0
44,108691.25,1,0,0,0,0,0
323,34342.14,1,0,0,0,0,0
259,95975.76,1,0,0,0,0,0
282,95191.87,1,0,0,0,0,0
329,14033.68,0,0,0,1,0,0
353,1460107.82,0,0,0,0,1,0
327,99966.95,1,0,0,0,0,0
43,125325.49,0,1,0,0,0,0
375,753887.64,0,0,0,0,1,0
17,26989.33,0,0,0,1,0,0
301,13687.09,0,1,0,0,0,0
302,2475.25,0,0,0,1,0,0
284,121992.65,0,1,0,0,0,0
212,19834.18,0,0,0,1,0,0
252,208141.41,1,0,0,0,0,0
299,6477.05,0,0,0,1,0,0
210,12448.15,0,0,0,1,0,0
617,204462.75,0,1,0,0,0,0
130,385730.16,0,1,0,0,0,0
183,233877.1,1,0,0,0,0,0
335,142867.68,1,0,0,0,0,0
285,62207.55,0,1,0,0,0,0
211,123608.42,1,0,0,0,0,0
522,118657.28,0,1,0,0,0,0
15,181123.17,0,1,0,0,0,0
229,80898.34,1,0,0,0,0,0
210,117233.63,0,1,0,0,0,0
231,17538.75,0,0,0,1,0,0
401,273819.28,1,0,0,0,0,0
399,1119.14,0,1,0,0,0,0
350,264456.84,1,0,0,0,0,0
371,1708.29,0,1,0,0,0,0
303,8430.48,0,0,0,1,0,0
402,26288.32,0,0,0,1,0,0
9,168600.48,0,1,0,0,0,0
277,4859.73,0,0,0,1,0,0
15,95914.5,1,0,0,0,0,0
356,68062.49,0,1,0,0,0,0
274,5188.61,0,0,0,1,0,0
352,355649.78,0,1,0,0,0,0
209,1003737.87,0,0,0,0,1,0
379,8709.69,0,0,0,1,0,0
163,424775.04,0,1,0,0,0,0
155,10729.88,0,0,0,1,0,0
154,237192.04,1,0,0,0,0,0
325,95069.67,1,0,0,0,0,0
139,10141.84,0,0,0,1,0,0
212,15971.04,0,0,0,1,0,0
326,28762.84,0,0,0,1,0,0
402,215378.45,0,1,0,0,0,0
406,126651.55,0,1,0,0,0,0
178,242803.0,1,0,0,0,0,0
43,534493.2,0,1,0,0,0,0
238,86585.3,1,0,0,0,0,0
522,42706.89,0,0,0,1,0,0
302,23000.12,0,0,0,1,0,0
161,403097.63,0,1,0,0,0,0
686,287533.93,0,1,0,0,0,0
395,151350.47,0,0,0,0,1,0
379,219956.48,0,1,0,0,0,0
261,5983.3,0,0,0,1,0,0
400,13928.6,0,0,0,1,0,0
349,107667.35,0,1,0,0,0,0
164,1111.84,0,0,0,1,0,0
130,46403.24,0,1,0,0,0,0
379,18087.5,1,0,0,0,0,0
186,334618.22,0,1,0,0,0,0
349,16240.73,0,0,0,1,0,0
183,6279.2,0,0,0,1,0,0
206,23759.23,0,1,0,0,0,0
236,51180.5,1,0,0,0,0,0
351,367847.88,1,0,0,0,0,0
35,35946.7,1,0,0,0,0,0
230,12223.4,0,0,0,1,0,0
210,10702.95,0,0,0,1,0,0
301,11250.99,0,0,0,1,0,0
201,316826.48,1,0,0,0,0,0
327,85738.63,1,0,0,0,0,0
262,62702.78,0,1,0,0,0,0
165,98554.83,0,1,0,0,0,0
328,25155.15,0,1,0,0,0,0
330,22737.03,0,0,0,1,0,0
325,297779.09,0,1,0,0,0,0
38,518448.87,0,0,0,0,1,0
36,13542.0,0,0,0,1,0,0
401,85010.5,0,1,0,0,0,0
159,21565.18,0,0,0,1,0,0
139,2125.88,0,0,0,1,0,0
212,133821.03,0,1,0,0,0,0
159,157339.13,0,1,0,0,0,0
182,15099.75,0,1,0,0,0,0
9,125138.47,0,1,0,0,0,0
186,535399.63,0,1,0,0,0,0
401,281358.91,0,1,0,0,0,0
17,119964.95,0,1,0,0,0,0
522,35909.18,0,0,0,1,0,0
308,213834.03,0,1,0,0,0,0
186,75472.03,1,0,0,0,0,0
349,350234.88,0,1,0,0,0,0
210,63591.45,0,1,0,0,0,0
201,352500.48,1,0,0,0,0,0
131,9437.21,0,0,0,1,0,0
258,126068.38,1,0,0,0,0,0
135,44724.2,1,0,0,0,0,0
238,15797.98,0,0,0,1,0,0
262,13155.11,0,0,0,1,0,0
228,180339.21,0,1,0,0,0,0
163,13041.49,1,0,0,0,0,0
251,49882.59,0,0,0,1,0,0
347,124548.24,1,0,0,0,0,0
300,15057.89,0,0,0,1,0,0
279,385028.01,0,0,0,0,1,0
140,322382.73,0,1,0,0,0,0
231,45212.83,1,0,0,0,0,0
139,71691.08,1,0,0,0,0,0
307,5753.75,0,0,0,1,0,0
329,35231.46,1,0,0,0,0,0
301,289756.93,1,0,0,0,0,0
129,442560.83,1,0,0,0,0,0
204,6327.39,0,1,0,0,0,0
180,182207.38,0,1,0,0,0,0
34,11207.22,0,0,0,1,0,0
259,243296.96,0,1,0,0,0,0
160,31347.28,0,0,0,1,0,0
546,16160.43,0,0,0,1,0,0
228,198687.29,0,1,0,0,0,0
345,104877.82,0,1,0,0,0,0
300,79764.99,0,1,0,0,0,0
402,106096.53,1,0,0,0,0,0
348,33358.08,0,0,0,1,0,0
399,43690.93,0,0,0,1,0,0
327,379520.16,0,1,0,0,0,0
161,207594.48,1,0,0,0,0,0
202,26252.11,0,1,0,0,0,0
158,202259.63,0,1,0,0,0,0
15,278366.52,1,0,0,0,0,0
37,153536.1,0,1,0,0,0,0
203,25836.02,0,0,0,0,1,0
331,62764.41,0,0,0,0,1,0
164,400344.26,0,0,0,0,1,0
17,32540.86,0,0,0,1,0,0
40,459614.56,0,1,0,0,0,0
349,264157.59,0,1,0,0,0,0
357,320135.96,0,1,0,0,0,0
263,907.35,0,0,0,1,0,0
181,34098.98,0,1,0,0,0,0
184,2283.82,0,0,0,1,0,0
36,60874.51,0,0,0,0,1,0
304,326748.19,1,0,0,0,0,0
